2025/08/04 11:38:44 Запуск репрайсера Wildberries
2025/08/04 11:38:44 Отслеживается 19 товаров
2025/08/04 11:38:44 Интервал проверки: 5m0s
2025/08/04 11:38:44 ========================================
2025/08/04 11:38:44 Начало нового цикла проверки...
2025/08/04 11:38:44 Текущая скидка кошелька: 2%
2025/08/04 11:38:44 Товар 445719497 - Цена: 374.00, Скидка продавца: 0%, Скидка WB: 4%, Финальная цена: 351.00, Минимальная цена: 351.00
2025/08/04 11:38:44 Товар 444947468 - Цена: 731.00, Скидка продавца: 0%, Скидка WB: 11%, Финальная цена: 637.00, Минимальная цена: 637.00
2025/08/04 11:38:44 Товар 455874194 - Цена: 1063.00, Скидка продавца: 0%, Скидка WB: 10%, Финальная цена: 936.00, Минимальная цена: 936.00
2025/08/04 11:38:45 Товар 465007169 - Цена: 612.00, Скидка продавца: 0%, Скидка WB: 11%, Финальная цена: 533.00, Минимальная цена: 533.00
2025/08/04 11:38:45 Товар 472724832 - Цена: 1469.00, Скидка продавца: 0%, Скидка WB: 6%, Финальная цена: 1352.00, Минимальная цена: 1352.00
2025/08/04 11:38:45 Товар 458176275 - Цена: 1908.00, Скидка продавца: 0%, Скидка WB: 11%, Финальная цена: 1664.00, Минимальная цена: 1664.00
2025/08/04 11:38:45 Товар 485867509 - Цена: 767.00, Скидка продавца: 0%, Скидка WB: 10%, Финальная цена: 676.00, Минимальная цена: 676.00
2025/08/04 11:38:45 Товар 439740235 - Цена: 672.00, Скидка продавца: 0%, Скидка WB: 9%, Финальная цена: 598.00, Минимальная цена: 598.00
2025/08/04 11:38:45 Товар 355039724 - Цена: 3126.00, Скидка продавца: 0%, Скидка WB: 10%, Финальная цена: 2756.00, Минимальная цена: 2756.00
2025/08/04 11:38:45 Товар 449727119 - Цена: 1475.00, Скидка продавца: 0%, Скидка WB: 23%, Финальная цена: 1112.00, Минимальная цена: 1112.00
2025/08/04 11:38:45 Товар 450517748 - Цена: 1350.00, Скидка продавца: 0%, Скидка WB: 10%, Финальная цена: 1190.00, Минимальная цена: 1190.00
2025/08/04 11:38:45 Товар 451852395 - Цена: 1313.00, Скидка продавца: 0%, Скидка WB: 10%, Финальная цена: 1157.00, Минимальная цена: 1157.00
2025/08/04 11:38:45 Товар 447703683 - Цена: 2757.00, Скидка продавца: 0%, Скидка WB: 10%, Финальная цена: 2431.00, Минимальная цена: 2431.00
2025/08/04 11:38:45 Товар 413320662 - Цена: 2212.00, Скидка продавца: 0%, Скидка WB: 10%, Финальная цена: 1950.00, Минимальная цена: 1950.00
2025/08/04 11:38:46 Товар 452613966 - Цена: 2212.00, Скидка продавца: 0%, Скидка WB: 10%, Финальная цена: 1950.00, Минимальная цена: 1950.00
2025/08/04 11:38:46 Товар 455308681 - Цена: 948.00, Скидка продавца: 0%, Скидка WB: 11%, Финальная цена: 826.00, Минимальная цена: 826.00
2025/08/04 11:38:46 Товар 363561833 - Цена: 2757.00, Скидка продавца: 0%, Скидка WB: 10%, Финальная цена: 2431.00, Минимальная цена: 2431.00
2025/08/04 11:38:46 Товар 420175308 - Цена: 1142.00, Скидка продавца: 0%, Скидка WB: 11%, Финальная цена: 995.00, Минимальная цена: 995.00
2025/08/04 11:38:46 Товар 466364173 - Цена: 1828.00, Скидка продавца: 0%, Скидка WB: 10%, Финальная цена: 1612.00, Минимальная цена: 1612.00
2025/08/04 11:38:46 Цикл завершен. Следующая проверка через 5m0s
